,CTDD_hydrophobicity_ZIMJ680101.3.residue25,CTDD_solventaccess.2.residue0,CTDD_solventaccess.2.residue25,Z5__31,CTDD_solventaccess.2.residue50,SER_C,CTDD_solventaccess.3.residue0,CTDD_solventaccess.3.residue25,Z5__36,CTDD_solventaccess.3.residue50,CTDD_solventaccess.3.residue100,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G3,Isoelectric_point,CTDD_hydrophobicity_FASG890101.1.residue0,CTDD_hydrophobicity_ENGD860101.1.residue25,CTDD_hydrophobicity_ENGD860101.1.residue0,Ez__23,RRI_F,Ez__22,Z5__53,CTDC_hydrophobicity_PONP930101.G3,ABHPRK__17,CTDD_hydrophobicity_CASG920101.2.residue25,Z5__56,CTDD_hydrophobicity_CASG920101.2.residue0,CTDD_polarity.3.residue25,CTDC_hydrophobicity_FASG890101.G1,CTDD_hydrophobicity_CASG920101.1.residue25,Z5__46,Ez__17,CTDD_solventaccess.1.residue25,CTDD_hydrophobicity_FASG890101.1.residue25,CTDD_polarity.3.residue50,QSO3_SC_C,Z3__26,Z3__21,CTDD_polarity.1.residue25,CTDD_polarity.1.residue0,CTDD_normwaalsvolume.3.residue25,CTDD_normwaalsvolume.3.residue0,QSO3_SC_L,CTDD_polarizability.2.residue100,CTDD_polarizability.3.residue0,CTDD_polarizability.3.residue25,CTDD_normwaalsvolume.2.residue100,CTDD_solventaccess.1.residue0,CTDD_normwaalsvolume.2.residue25,CTDD_charge.1.residue0,CTDD_charge.1.residue25,CTDD_charge.1.residue50,CTDD_charge.1.residue75,SEP_L,CTDD_charge.2.residue0,CTDD_charge.2.residue25,Z3__6,SEP_C,CTDD_hydrophobicity_FASG890101.3.residue25,Z5__21,CTDD_hydrophobicity_FASG890101.3.residue0,CTDD_hydrophobicity_FASG890101.1.residue50,CTDD_normwaalsvolume.2.residue0,CTDD_hydrophobicity_CASG920101.1.residue0,Ez__20,Ez__14,APAAC_Pc1.L,Ez__15,Cougar__15,Cougar__14,OVP_Polar_N1,CTDC_solventaccess.G2,Cougar__13,Cougar__12,OVP_Aromatic_N2,Cougar__11,OVP_Negative_N2,OVP_Polar_N2,OVP_Hydrophobic_N2,Cougar__7,APAAC_Pc1.C,OVP_Charged_N2,CTDD_hydrophobicity_ZIMJ680101.3.residue0,CTDD_hydrophobicity_PRAM900101.3.residue100,GAAC_postivecharge,OVP_Aromatic_C5,AAC_C,CTDD_hydrophobicity_ARGP820101.3.residue0,ABHPRK__76,CTDD_hydrophobicity_PONP930101.1.residue0,CTDD_hydrophobicity_ARGP820101.3.residue25,MSW__18,DDR_C,CTDD_hydrophobicity_PRAM900101.1.residue75,CTDD_hydrophobicity_PRAM900101.1.residue50,CTDD_hydrophobicity_PRAM900101.1.residue25,CTDD_hydrophobicity_PRAM900101.1.residue0,CTDD_hydrophobicity_PRAM900101.2.residue100,Cougar__16,OVPC_Charged,Cougar__21,Z5__66,Ez__13,Ez__12,CTDD_hydrophobicity_PONP930101.3.residue25,Ez__10,Z5__71,Z5__72,Ez__9,Ez__8,Ez__7,Ez__6,Ez__1,Cougar__30,Cougar__29,Cougar__28,CTDD_hydrophobicity_PONP930101.3.residue0,CTDD_polarity.3.residue0,OVPC_Positive,CTDD_hydrophobicity_PONP930101.1.residue25,CTDD_hydrophobicity_PONP930101.2.residue25,CTDC_polarity.G3,Boman_Index,CTDC_polarity.G1,Cougar__26,Cougar__27,formula_S,MSW__20,Ez__27,Z5__6,APAAC_Pc1.R,Geary_CHAM820102.lag1,Z5__61,CTDD_hydrophobicity_ENGD860101.1.residue50,Z5__16,Z5__51,Ez__24,Z3__3,MSW__27,TM_tend,MSW__6,Cougar__2,Ez__16,Calculate_charge,Ez__21,CTDD_hydrophobicity_ZIMJ680101.2.residue100,Geary_CHAM820101.lag1,MSW__21,CTDD_polarizability.2.residue25,CTDD_hydrophobicity_ZIMJ680101.3.residue100,Ez__11,APAAC_Pc1.I,CTDD_polarizability.2.residue0,CTDD_solventaccess.2.residue75,CTDD_hydrophobicity_ARGP820101.1.residue25,CTDD_hydrophobicity_PONP930101.2.residue0,CTDD_normwaalsvolume.3.residue50,CTDD_polarizability.3.residue100,CTDD_normwaalsvolume.3.residue100,CTDD_polarity.3.residue75,CTDD_polarizability.3.residue50,CTDD_charge.1.residue100,ABHPRK__16,MSW__24,Z3__12,Z5__1,Charge_acid,QSO3_SC_R,CTDD_hydrophobicity_CASG920101.2.residue50,QSO3_SC2,Z5__22,CTDD_hydrophobicity_ARGP820101.1.residue0,ABHPRK__77,APAAC_Pc1.K,Ez__25,ABHPRK__1,OVP_Aliphatic_C5,Cougar__6,CTDD_hydrophobicity_ARGP820101.3.residue100,Z5__41,Cougar__22,OVP_Hydrophobic_N1,CTDD_solventaccess.1.residue50,SER_L,AAC_L,Ez__18,OVP_Charged_N3,DDR_K,CTDC_charge.G2,Geary_BIGC670101.lag1,CTDD_hydrophobicity_ENGD860101.1.residue100,Cougar__24,CTDC_charge.G3,CTDD_hydrophobicity_ENGD860101.3.residue100,Cougar__3,CTDC_hydrophobicity_PONP930101.G1,MSW__23,CTDC_hydrophobicity_ENGD860101.G3,OVPC_Negative,CTDD_hydrophobicity_PRAM900101.3.residue0,GAAC_negativecharge,CTDD_polarity.2.residue25,QSO3_SC1,ABHPRK__20,QSO3_G1,Ez__29,CTDC_hydrophobicity_ENGD860101.G1,Z5__20,CTDD_hydrophobicity_PRAM900101.3.residue25,MSW__26,CTDD_charge.3.residue75,y,MotifBitVec_LMK,MotifBitVec_ADV,MotifBitVec_AGIGIL,MotifBitVec_AQID,MotifBitVec_EFP,MotifBitVec_AVADE,MotifBitVec_VDEV,MotifBitVec_ITD
Negative_147,1.481481481,0,0,0.486850557,-0.5,0,1.5,1.5,-0.029493478,1.875,0.64516129,0.203703704,0.5,0.170027248,0,0,0,-0.541828073,0,-0.620818876,0.361081579,0.5,0,0.55,-1.017157043,0.6,0,0.15,-0.5,0.11933031,-0.949285092,0,0,-0.5,0,-0.034206282,-0.003974402,0.5,0.5,0.575,0.575,0.073388567,-0.555555556,0.575,0.575,-0.5,0,0,0.353946707,0.353946707,0.353946707,0.333333333,0,0,0.2,0.288142044,0,2,-0.00105465,2,-0.5,0,-0.5,-1.0310648,0.391360714,-0.007515616,1.520774539,0.534998579,0.970758826,0,0.203703704,0.731058139,0.613118769,0,0.627116454,0,1,-1,0.018157469,0,0,1.481481481,-0.5,0,1,0,1.538461538,0,0,1.538461538,0.993389072,0,0,-0.5,0,0,0.444444444,0.2150974,-0.5,0.285120036,0.12088599,0.264437434,0.103101546,0.5,1.071499112,-0.528741747,-0.675350976,0.598011611,0.089086114,-0.157059215,-0.22240011,0.178995063,0.547569798,0.723020227,0.683607783,0.5,0,0,0,0,0,-0.518642031,0.5,0.613033272,0.667711697,0,0.903742138,-0.472438056,0.260739574,0,-1.317282032,-0.810447318,0.244444444,0.69278041,0.706129259,-0.510318419,0.042653445,-0.306949296,0.248931732,-0.007249876,0.311743489,-0.924582023,0.5,-0.579511441,0,-1.010988319,-0.209216575,0,0,-0.567574252,0.979933444,0,0,-0.384615385,0,0.5,0.333333333,0.333333333,-0.166666667,0.5,0.2,-0.555555556,0.610356069,-0.190677231,-0.461398188,-0.012457271,0,1.333333333,-0.377423524,0.560063718,-0.384615385,-0.368421053,0.988169154,-0.413103219,-0.555555556,-1,0.434267717,0,0.244354598,0.425495641,0,0,0,0,-1.005017466,0,0.801801802,0.588235294,-1.228124263,0.5,-0.257806534,-0.555555556,-0.5,0.218375428,-0.266666667,0.595235141,0.5,-0.555555556,0.421052632,-0.555555556,-0.333333333,-0.622922135,0,-0.622922135,-0.404206227,0.181069959,0.190302033,0.421052632,-0.862681512,-0.675,0,0,0,0,0,0,0,0,0
Negative_148,-0.37037037,0.769230769,0.769230769,0.353064034,0.5,0,0,0,-0.508922516,-0.125,-0.322580645,0.203703704,0.5,-0.701448444,0.384615385,1,1,0.025447192,0,0.369711318,0.778884959,0,0,0.05,-1.015127901,0.1,0.769230769,0.65,0.5,-0.529086733,0.613798006,0,0.384615385,0.5,0,-0.971851376,0.224969247,-0.5,-0.5,-0.425,-0.425,1.154092913,0,-0.425,-0.425,0,0,0,-0.53092006,-0.53092006,-0.53092006,-0.5,-0.365145228,0,0.2,-0.284851085,0,0,-0.773001963,0,0.5,0,0.5,1.191665194,-0.890626091,1.066745441,-1.154147647,0.088855035,-0.137523138,0,0.203703704,-0.043336774,0.331830064,0,0.220111949,0,0,0,-0.325198207,0,0,-0.37037037,0,-1.111111111,0,0,-0.384615385,0.5,0.5,-0.384615385,0.861929054,0,1.142857143,0.5,0.769230769,0.769230769,-0.888888889,-0.348715797,-0.5,-0.12967307,-0.389951832,-0.048876501,-0.093216386,-0.5,-1.007166887,-0.529325865,-0.149110629,-0.816496484,-0.256166963,-0.087604672,-0.499188541,0.004653938,0.229276374,0.274616669,0.283599302,-0.5,0.769230769,-1.111111111,0.524590164,-0.333333333,0,-0.116008484,0,0.243687614,0.427628837,0,0.721025157,-0.002986493,-0.154629308,0,1.030217187,-0.126383155,0.244444444,-0.433893929,1.075608251,0.231449433,-1.164475193,-0.103662596,1.166913804,0.074423275,0.173987731,0.915302051,-0.5,0.487733655,-1.673913043,-0.510432964,-0.893643962,0,0,-0.61510509,0,0,1.142857143,0.384615385,-0.333333333,-0.5,-2.333333333,-2.333333333,0.833333333,-0.5,-0.514285714,0,0.017349386,-0.002267074,0.505653784,-0.012457271,0,-0.333333333,0.025850926,0.09365363,0.384615385,0.578947368,0,0.735628456,0,0,-0.129319599,0,0.045035319,-0.146554003,0,-0.34375,-0.365145228,1,0.534085645,0,0,0.588235294,-0.019943298,0,0.649858577,5.55E-16,0,-0.169574514,0.622222222,-0.170156455,0.5,0,-0.421052632,0,0.333333333,-0.69816273,1.2,-0.69816273,0.232891547,-0.271604938,0.384694038,-0.421052632,-0.657988192,0.325,0,0,0,0,0,0,0,0,0
Negative_149,-0.37037037,0,0,0.743427723,-0.5,0,0.75,0.75,-0.209605568,0.875,0.322580645,0.203703704,0.5,-0.019962713,0,0,0,-0.081519839,0,-0.280604354,1.514244799,0.5,1,1.05,-0.82833891,1.1,0,0.15,0,-0.115629587,-0.331014684,0,0,-0.5,0,-0.117931847,0.235237189,-0.5,-0.5,-0.425,-0.425,-0.019016409,0,-0.425,-0.425,0,0,0,0,0,0,0,0,0,-0.8,0.133447162,0,0,0.124947709,0,-0.5,0,0,0.169166783,0.345951134,0.04541441,-0.514953565,-0.105440654,-0.230994845,0,0.203703704,0.120714584,0.068917274,0,0.092754199,0,1,-1,-0.13458343,0,0,-0.37037037,0,0,0,0,-0.384615385,0.5,0,-0.384615385,0.211238014,0,-0.380952381,-0.5,0,0,0,0.175899283,0,0.06145083,0.601909571,0.97596244,-0.407644338,-0.5,-0.077048319,-0.523213485,-0.610141265,-0.020257809,0.309135819,-0.245988087,-0.312189212,0.391887956,0.138768491,0.110156563,0.267541931,-0.5,0,0,0,-0.333333333,0,-0.232237657,0.5,0.12978454,0.341064621,0,1.23491195,-0.133110432,-0.156511277,0,-0.442446518,-0.205904098,-0.366666667,0.049992114,0.657065852,0.343215165,-1.720943296,-0.641921053,1.460238356,0.236662325,0.043659444,0.123095636,0,0.010485135,-0.717391304,0.044253162,-0.576026402,0,0,-0.625256148,1.082637664,0,-0.380952381,0,-0.333333333,-0.5,0,0,-0.5,-0.5,-0.085714286,0,-0.144262174,0.346540614,0.063023272,-0.368331231,0,0.333333333,0.863420939,-0.810348452,0,0.578947368,1.091736537,0.870803578,0,0,0.110342321,0,-0.146307149,0.03171547,0,0.34375,0,0,-0.133908329,1,1,0,0.289761418,0,0.335886013,0,0,-0.04304397,0.177777778,0.094800928,0.5,0,-0.421052632,0,1.333333333,0.141732283,0,0.141732283,0.110169658,0.181069959,-0.2907145,-0.421052632,-0.921481903,1.075,0,0,0,0,0,0,0,0,0
Negative_150,1.111111111,0,0,0.163732435,-0.5,0,0,0,0.30755198,-0.125,-0.322580645,-0.475308642,0.5,0.73035996,0,0,0,0.945518682,0,0.564568679,-0.270215108,2.50E-16,0,3.05,-0.837858608,3.1,0,0.15,-0.5,0.003060275,0.618729998,0,0,-0.5,0,-0.145686074,-0.235603058,1.5,1.5,0.325,0.325,0.643511574,0,0.325,0.325,0,0,0,0.176973353,0.176973353,0.176973353,0.166666667,-0.269709544,0,0.2,-0.639260182,0,4,-0.530636521,4,-0.5,0,-0.5,0.544139945,0.779534798,0.466069337,0.670654453,0.493605026,0.593646328,0,-0.475308642,0.256258689,0.320040559,0,0.235673847,0,1,-1,-0.426993087,0,0,1.111111111,0,0,0,0,1.153846154,0,0,1.153846154,0.728306074,0,-0.761904762,-0.5,0,0,-0.888888889,0.09596053,-0.5,0.298320147,0.004794868,-0.458429328,-0.153691833,1.5,0.5960112,-0.716160257,0.155335947,0.596181055,-0.271970575,-0.479496598,-0.748651217,-0.15853094,-0.245826853,-0.168510287,-0.232252343,1.5,0,0,0,0,-0.5,-0.495592364,0,-0.323599015,-0.125795088,0,0.591893082,0.34550074,-0.49243029,0,-0.474666474,-0.694058677,-0.977777778,0.367364344,0.353750344,0.447312986,1.447673594,-0.392022557,-0.672229047,-0.127466006,0.427364362,0.616102365,0.500500501,0.599674536,-0.717391304,0.143338362,-0.550897226,0,0,-0.950000449,0.949433463,0,-0.761904762,-0.384615385,0,0.25,-0.333333333,-0.333333333,-0.833333333,0.25,0.057142857,-0.555555556,-0.266914574,0.332645834,0.264339926,-0.012457271,0,1.666666667,-0.899612236,-0.177727107,-0.384615385,0.105263158,0.95741284,0.998775097,-0.555555556,0,0.395749203,0,0.414577031,0.164171632,0,0.6875,-0.269709544,0.5,0.707382376,0,0.851351351,0.588235294,-0.275601993,-2,-0.371086126,-0.555555556,0,0.373155158,0.177777778,0.831447148,0.5,-0.555555556,1.263157895,-0.555555556,-0.333333333,-0.139982502,0,-0.139982502,0.356382623,-0.724279835,-0.173142114,1.263157895,-0.016945741,-0.675,0,0,0,0,0,0,0,0,0
Negative_151,2.592592593,-0.336538462,-0.336538462,-1.397438244,-0.9375,0,0.375,0.375,0.780310826,0.375,0.282258065,0.458333333,-0.375,0.39122329,-0.336538462,-0.4375,-0.4375,-0.286550325,0,-0.351978404,-0.516726249,-0.875,1.142857143,2.425,0.086879655,2.475,-0.336538462,1.4625,-0.4375,1.034333054,-0.615224615,4.625,-0.336538462,-0.9375,0,0.938495292,-1.568043192,2.375,2.375,-0.39375,-0.39375,0.060741732,0,-0.39375,-0.39375,0,4.625,0.25,-0.331825038,-0.331825038,-0.331825038,-0.3125,-0.047717842,35,2.7,-0.237739641,0,5.75,-0.395780203,5.75,-0.375,0.25,-0.4375,-0.484305254,1.432710098,-0.059675876,1.638938678,1.249430707,1.516538863,1,0.458333333,1.223126747,1.366319875,0,1.125000476,1,1,-1,-0.486890873,0,1,2.592592593,0,1.388888889,0,0,2.692307692,0.8125,-0.4375,2.692307692,-0.309314818,0,-0.666666667,-0.9375,-0.336538462,-0.336538462,-0.055555556,1.043100916,0.6875,-0.808870191,0.25342105,0.785138545,0.623494807,2.375,1.683032828,-0.918627635,-0.100282659,1.352961821,0.783289394,0.74002762,0.612274175,0.644632252,0.40114977,0.423452765,0.253557695,2.375,-0.336538462,1.388888889,-0.459016393,0.791666667,0.1875,0.917916212,-0.875,0.231665434,0.418836892,0,-0.502106918,-0.342553364,0.096905874,0.908886211,0.628930613,0.237864604,-1.5125,0.106798413,-1.479452101,-0.005794841,1.241098089,0.014752917,-1.07238719,-0.600223847,1.528145392,-0.51555618,0.501001001,-0.583678584,-0.059782609,0.037443452,0.004514685,0.25,0,0.608672923,0,0.25,-0.666666667,0.096153846,0.791666667,-0.46875,-1.541666667,-1.541666667,-0.75,-0.46875,-0.032142857,0.069444444,0.289667019,-0.970639029,-0.179435786,0.568399031,1.256378853,1.25,-0.653166738,0.117327115,0.096153846,0.781954887,0.886107961,-0.106491188,0.069444444,0,-1.098184529,0,0.455885211,-1.491232257,0,0.90234375,-0.047717842,0.0625,-0.7034581,1,1.378378378,-0.808823529,-0.032569317,-2.3125,-2.050404469,0.069444444,0,1.656002048,0.4,0.81410925,-0.375,0.069444444,2,0.069444444,0.833333333,-1.10936133,0,-1.10936133,-0.32195317,-0.101851852,-1.15965174,2,1.303819255,-0.1125,0,0,0,0,0,0,0,0,0
Negative_152,1.481481481,0,0,-0.527916401,-0.5,0,-0.5,-0.5,0.075493948,0.875,0.64516129,0.203703704,-1,0.170027248,0,-0.5,-0.5,-0.750940079,0,-0.630396701,-0.353228296,-1,0,-0.45,0.403393416,-0.4,-0.384615385,0.65,0,-0.09116244,-0.791036821,4,0,-0.5,0,0.169784451,-0.310812788,2.5,2.5,-0.425,-0.425,-0.507442708,-1.111111111,-0.425,-0.425,-1,4,0,0,0,0,0,0.730290456,0,0.2,-0.017219388,0,0,0.348930482,0,0,0,0,-1.067853862,1.347537489,-0.512537735,1.502068619,-0.923887532,-0.585538569,1,0.203703704,-0.226900395,0.211373317,0,0.054318186,0,1,-1,-0.306278933,0,0,1.481481481,-1,1.111111111,1,0,1.538461538,1,0,1.538461538,1.05617505,0,-0.380952381,-0.5,0,0,0.444444444,-0.526491054,0,-0.754415301,0.396560144,0.240875848,0.389007122,2.5,1.404563939,0.576117908,1.296970227,1.418402536,0.883369898,0.487444087,0.851748058,0.342047914,-0.46998071,-0.355081871,-0.43353488,2.5,-0.384615385,1.111111111,0,0,0.5,0.471512818,-1,0.215633885,-0.052607612,0,0.502157233,-0.769779212,-0.219038324,0,-0.489458315,0.260763347,-0.366666667,0.652572917,0.366804584,-0.587735203,0.535574283,0.020141564,-0.956969304,0.857937177,0.513254781,-0.856338544,0.54954955,-1.16466898,-0.956521739,0.176750943,-0.873997515,0,0,0.297970671,0.955502936,0,-0.380952381,0,0,-0.5,0.333333333,0.333333333,-0.5,-0.5,-0.085714286,-0.555555556,-0.42111355,-0.777474842,-1.255710392,-0.747615017,0,-0.666666667,-1.189142611,0.037073277,0,1.052631579,0.963533323,-0.552733351,-0.555555556,-1,-0.184931824,0,-0.357069953,-1.030637522,0,0.6875,0.730290456,-0.5,-0.754710993,1,1,0.588235294,0.562930529,0.5,-0.702651676,-0.555555556,-1,0.512691755,0.622222222,-0.317265146,-1,-0.555555556,2.105263158,-0.555555556,1,0.078740157,0,0.078740157,-1.205539285,1.086419753,-0.306445786,2.105263158,-0.056096755,-0.675,0,0,0,0,0,0,0,0,0
Negative_153,1.111111111,0,0,0.185495942,-0.5,0,-0.5,-0.5,0.475650032,-0.791666667,0.322580645,0.203703704,-0.5,-0.448128496,0,-0.5,-0.5,-0.279423909,0,-0.395080308,-0.403796759,-0.5,1,-0.45,-0.343352402,-0.4,-0.384615385,0.15,0,-0.617673938,-0.904690867,2,0,-0.5,0,-0.528822878,0.57452188,1.5,1.5,-0.425,-0.425,-0.011169832,0,-0.425,-0.425,0,2,0,-0.53092006,-0.53092006,-0.53092006,-0.5,0,0,0.2,0.620499239,0,0,0.419342565,0,-0.5,0,0,-0.629300229,0.890779621,0.011775842,0.879301625,-0.025266431,0.168308647,1,0.203703704,0.297263466,-0.032773609,0,0.005884319,0,1,-1,0.111031496,0,0,1.111111111,0,1.111111111,0,0,1.153846154,1,0,1.153846154,-0.313820989,0,0,-0.5,0,0,0,-0.552986078,0.5,-0.556378183,-0.53456627,0.891189136,0.364537726,1.5,0.394202169,-0.105798417,0.169023929,0.784755948,0.764429776,0.313621999,0.374490365,-0.009901995,1.034215464,1.286372365,1.177816885,1.5,-0.384615385,1.111111111,0,0,1,0.447482314,-0.5,1.353536034,1.148213382,0,-0.044786164,-0.180101982,0.528252249,0,0.464078102,1.483347017,0.244444444,0.885990174,0.532989458,-0.066986482,-0.240223179,0.578001224,-0.41038331,1.260081223,-0.461961113,-0.823876104,-0.401901902,-0.456959816,0,-0.087276147,0.13284482,0,0,0.313137546,1.017366151,0,0,0,0,-0.5,0,0,-0.166666667,-0.5,-0.514285714,0,-0.386636417,-0.554148695,-0.266201691,1.079646866,0,0,0.310211116,-0.345211577,0,0.578947368,0,0.286168966,0,0,0.059661739,0,-0.410585261,-0.401075165,0,0,0,0,-0.859653453,0,0,0.588235294,-0.03745254,0,-0.560224862,5.55E-16,0,-0.107714618,-0.266666667,-0.949222322,-0.5,0,1.263157895,0,0.333333333,-0.281714786,0,-0.281714786,0.269765892,1.086419753,-0.233438576,1.263157895,-0.177538768,0.825,0,0,0,0,1,0,0,0,0
Negative_154,0.740740741,-0.384615385,-0.384615385,-0.098997661,-1,0,-0.25,-0.25,-0.112225391,-0.458333333,0.64516129,0.203703704,0,-0.68676323,-0.384615385,-0.5,-0.5,0.612668794,0,0.305369095,0.160102281,2.50E-16,2,0.55,0.120392876,0.6,-0.384615385,0.15,-0.5,0.554781002,-0.310696338,2,-0.384615385,-1,0,0.444058182,-0.003964567,1,1,1.325,1.325,0.471256145,-1.666666667,1.325,1.325,-1.5,2,-1,0.884866767,0.884866767,0.884866767,0.833333333,-0.269709544,10,0.2,0.595784877,0,2,-0.370227614,2,-1,-1,-0.5,-0.048996428,-0.605006505,0.570555513,-0.283579005,-0.586146236,-0.759176106,1,0.203703704,-0.458493206,-0.174748621,0,0.129993956,0,1,0,-0.761966695,0,0,0.740740741,-1.5,0,1,0,0.769230769,0.5,-0.5,0.769230769,-0.673353323,0,1.142857143,-1,-0.384615385,-0.384615385,0.444444444,0.69352766,0.5,-0.30343711,-0.011095816,-0.615930596,-0.255644043,1,-0.347566754,-0.105297744,0.421706511,-0.500238472,-0.515046358,-0.243039307,-0.070036717,0.107700699,-0.121307459,-0.192596005,-0.027636402,1,-0.384615385,0,-0.524590164,0.666666667,0,0.440616456,0,0.065482887,-0.012645376,0,-0.110748428,0.504951074,0.64059933,1.086875059,0.285468335,0.189082497,2.077777778,-0.054799722,-0.681641558,0.87193113,-0.461947159,-0.485178789,-0.016177501,-0.289599603,0.042172106,-0.251398794,-0.5,0.136203217,-0.239130435,-0.972610884,0.748433494,-1,0,0.339369076,0,-1,1.142857143,-0.384615385,0.666666667,1.25,0.333333333,0.333333333,0.833333333,1.25,0.628571429,0.555555556,0.568897317,-0.771322866,0.262793114,-0.368331231,1.082057563,0.333333333,0.663507109,-1.128320512,-0.384615385,0.578947368,0,0.563667187,0.555555556,-1,-0.667306123,0,-0.615626302,-0.167996676,-1,0.34375,-0.269709544,0.5,-0.118763306,0,0,-0.588235294,-0.572896529,0.5,0.868950643,0.555555556,-1.5,-0.428117775,-0.266666667,0.693895743,0,0.555555556,0.842105263,0.555555556,0,-0.447944007,0,-0.447944007,0.647134295,0.181069959,-1.015717,0.842105263,0.336890782,-0.425,0,0,0,0,0,0,0,0,0
Negative_155,-0.407407407,-0.076923077,-0.076923077,-0.738586757,0.3,0,1.5,1.5,0.071194252,1.875,0.64516129,1.222222222,-0.15,0.165897031,-0.076923077,-0.1,-0.1,-0.325675148,0,-0.940021188,-0.268704797,-0.2,0,1.3,-0.677144091,1.35,-0.076923077,0.9,-0.1,0.749526588,-1.027584907,-0.1,-0.076923077,0.3,0,0.597302512,-1.120312208,-0.55,-0.55,-0.45,-0.45,-0.507442708,-2,-0.45,-0.45,-1.8,-0.1,-0.2,0.584012066,0.584012066,0.584012066,0.55,0.730290456,-1,-0.9,-0.197095304,0,-0.1,0.470514651,-0.1,0.3,-0.2,-0.1,-0.91363186,0.411933731,-0.512537735,0.177444743,0.377254925,0.398295212,0,1.222222222,0.925205952,0.822968033,0,1.004622804,0,1,-1,-1.057743017,0,0,-0.407407407,-2.25,0.888888889,1,0,-0.423076923,0.7,-0.1,-0.423076923,-0.61570438,0,0.533333333,0.3,-0.076923077,-0.076923077,0.444444444,1.185418663,0.35,-0.791895581,0.364182492,-0.066682075,1.055535122,-0.55,0.162771588,-0.656379927,-0.138634903,0.344228806,0.27902937,0.682367251,0.500505989,1.16565295,0.986771986,0.845525613,0.998737375,-0.55,-0.076923077,0.888888889,-0.104918033,2.066666667,0.75,0.714662286,-0.2,0.724206846,0.776421161,0,0.95091195,-0.847961706,-0.305611867,1.002154461,-0.399944086,-0.08909242,1.1,0.121503385,-0.283429794,-1.124240955,1.455201311,-1.340072634,-0.822120125,0.937822904,1.031780341,-0.674554669,0.500500501,-0.732844159,-0.167391304,0.186963101,0.309868446,-0.2,0,0.282762594,0.968895803,-0.2,0.533333333,-0.076923077,2.066666667,0.825,0.333333333,0.333333333,0.3,0.825,0.642857143,-0.055555556,0.297586909,-0.538436761,-0.220208447,0.164396003,0.976934068,0.5,-0.315381301,-0.777579601,-0.076923077,0,0.977038748,-0.867196187,-0.055555556,-1,-0.899426607,0,0.18817867,-0.470731665,0,-0.103125,0.730290456,-0.5,-0.713511641,0,1.013513514,-0.411764706,0.545719956,0.5,0.078199689,-0.055555556,-2.25,0.927026746,0,0.262283181,-0.15,-0.055555556,-0.463157895,-0.055555556,1.733333333,1.625546807,0,1.625546807,-1.080872467,0.814814815,-0.852567151,-0.463157895,-0.500143123,0.225,0,0,0,0,0,0,0,0,0
Negative_156,-0.37037037,0.769230769,0.769230769,0.135051843,0.5,0,-0.25,-0.25,0.146864225,-0.458333333,-1.612903226,0.203703704,0.5,0.236569626,0.769230769,1,1,0.357730768,0,0.056878995,0.197334154,2.50E-16,1,0.55,0.252287102,0.6,0.769230769,0.15,0,1.028873654,-0.872853817,0,0.769230769,0.5,0,0.604471567,0.136373818,-0.5,-0.5,-0.425,-0.425,-0.507442708,0,-0.425,-0.425,0,0,1,0.707893414,0.707893414,0.707893414,0.666666667,0.730290456,0,-0.8,0.747713374,0,0,0.308230053,0,0.5,1,0,-0.782670718,-0.921879148,-0.512537735,0.487336437,-0.404708677,-0.087630634,0,0.203703704,0.298663188,0.146770132,0,0.254388792,0,1,0,-0.328324922,0,0,-0.37037037,0,0,0,0,-0.384615385,0,0,-0.384615385,-0.456155898,0,0.380952381,0.5,0.769230769,0.769230769,0,1.384780106,0,0.019475186,-0.363825951,0.922051099,-0.20442714,-0.5,0.010457425,-0.664257179,0.224744921,-0.519936455,0.171482386,-0.260931476,-0.323908174,0.122784738,0.201643995,0.341178441,0.341220976,-0.5,0.769230769,0,0,2,0,0.225322757,0,0.013349232,0.334822732,0,1.050383648,0.178715623,0.66088884,1.025945389,-0.317397589,-0.29470617,0.244444444,0.255048573,-0.329910466,0.865409801,-0.208775813,0.041426719,0.33506095,-0.313642829,0.250135623,-0.478219216,0,0.303373874,-0.956521739,0.679447071,0.227878796,1,0,-0.037897996,1.983794355,1,0.380952381,0,2,-0.5,-0.333333333,-0.333333333,0.166666667,-0.5,0.485714286,0,-1.852086944,0.522834664,0.202210264,-0.012457271,1.100836905,0,0.387763895,0.888376754,0,-0.368421053,0,0.195961144,0,0,-0.234268135,0,0.068191629,-0.155499871,0,0,0.730290456,-0.5,-0.794444897,0,0,0,0.722160877,-0.5,0.494633008,0,0,0.628724985,-0.266666667,0.110827762,0.5,0,-0.421052632,0,0,0.985126859,0,0.985126859,1.14824977,-0.271604938,-0.199437119,-0.421052632,0.523190512,0.325,0,0,0,0,0,0,0,0,0
